side sector tile interfaceBoard ch
1 1 12 8 54
1 1 13 8 39
1 1 14 8 55
1 1 15 8 40
1 1 16 8 56
1 1 17 8 41
1 1 18 8 57
1 1 19 8 42
1 1 20 8 58
1 1 21 8 43
1 1 22 8 59
1 1 23 8 44
1 1 24 8 60
1 1 25 8 45
1 1 26 8 61
1 1 27 8 46
1 1 28 8 62
1 1 29 8 47
1 1 30 8 63
1 1 31 8 32
1 2 0 8 16
1 2 1 8 1
1 2 2 8 17
1 2 3 8 2
1 2 4 8 18
1 2 5 8 3
1 2 6 8 19
1 2 7 8 4
1 2 8 8 20
1 2 9 8 5
1 2 10 8 21
1 2 11 8 6
1 2 12 8 22
1 2 13 8 7
1 2 14 8 23
1 2 15 8 8
1 2 16 8 24
1 2 17 8 9
1 2 18 8 25
1 2 19 8 10
1 2 20 8 26
1 2 21 8 11
1 2 22 8 27
1 2 23 8 12
1 2 24 8 28
1 2 25 8 13
1 2 26 8 29
1 2 27 8 14
1 2 28 8 30
1 2 29 8 15
1 2 30 8 31
1 2 31 8 0
1 3 0 6 48
1 3 1 6 33
1 3 2 6 49
1 3 3 6 34
1 3 4 6 50
1 3 5 6 35
1 3 6 6 51
1 3 7 6 36
1 3 8 6 52
1 3 9 6 37
1 3 10 6 53
1 3 11 6 38
1 3 12 6 54
1 3 13 6 39
1 3 14 6 55
1 3 15 6 40
1 3 16 6 56
1 3 17 6 41
1 3 18 6 57
1 3 19 6 42
1 3 20 6 58
1 3 21 6 43
1 3 22 6 59
1 3 23 6 44
1 3 24 6 60
1 3 25 6 45
1 3 26 6 61
1 3 27 6 46
1 3 28 6 62
1 3 29 6 47
1 3 30 6 63
1 3 31 6 32
1 4 0 6 16
1 4 1 6 1
1 4 2 6 17
1 4 3 6 2
1 4 4 6 18
1 4 5 6 3
1 4 6 6 19
1 4 7 6 4
1 4 8 6 20
1 4 9 6 5
1 4 10 6 21
1 4 11 6 6
1 4 12 6 22
1 4 13 6 7
1 4 14 6 23
1 4 15 6 8
1 4 16 6 24
1 4 17 6 9
1 4 18 6 25
1 4 19 6 10
1 4 20 6 26
1 4 21 6 11
1 4 22 6 27
1 4 23 6 12
1 4 24 6 28
1 4 25 6 13
1 4 26 6 29
1 4 27 6 14
1 4 28 6 30
1 4 29 6 15
1 4 30 6 31
1 4 31 6 0
1 5 0 11 16
1 5 1 11 1
1 5 2 11 17
1 5 3 11 2
1 5 4 11 18
1 5 5 11 3
1 5 6 11 19
1 5 7 11 4
1 5 8 11 20
1 5 9 11 5
1 5 10 11 21
1 5 11 11 6
1 5 12 11 22
1 5 13 11 7
1 5 14 11 23
1 5 15 11 8
1 5 16 11 24
1 5 17 11 9
1 5 18 11 25
1 5 19 11 10
1 5 20 11 26
1 5 21 11 11
1 5 22 11 27
1 5 23 11 12
1 5 24 11 28
1 5 25 11 13
1 5 26 11 29
1 5 27 11 14
1 5 28 11 30
1 5 29 11 15
1 5 30 11 31
1 5 31 11 0
1 6 0 9 16
1 6 1 9 1
1 6 2 9 17
1 6 3 9 2
1 6 4 9 18
1 6 5 9 3
1 6 6 9 19
1 6 7 9 4
